Startup,Location,Sector,Date,Amount (US$),Investors,Stage,Debt/Equity,Female co-founder/CEO?,Local founder?,Intnl founder?,Launched?,Accelerator?,Employees,Funding Year
Edukoya,Nigeria,ed-tech,December,"3,500,000.00","Target Global,  the round also sees strategic participation from angel investors including European and African founders such as Paystack’s Shola Akinlade, Kuda’s Babs Ogundeyi and Musty Mustapha, Fintech Stash’s Brandon Krieg and Ed Robinson, and Aux Money’s Raffael Johnen, among others. ",Pre-seed,Equity,Yes,Yes,No,2021,No,11,2021
Edupay,Egypt,ed-tech,December,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2019,Yes,8,2021
Teesas,Nigeria,ed-tech,December,"1,600,000.00","Haresh Aswani, Tolaram Group’s Africa managing director, with the participation of Olivegreen Advisory Partners",Pre-seed,Equity,No,Yes,No,2021,No,18,2021
Orcas,Egypt,ed-tech,,,Launch Africa Ventures,Undisclosed,Equity,Yes,Yes,No,2017,No,171,2021
Resolute Education,South Africa,ed-tech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2018,No,12,2021
Schoolable,Nigeria,ed-tech,,,Musha Ventures,Undisclosed,Equity,Yes,Yes,No,2018,Yes,13,2021
Daystar Power,Nigeria,energy,January + July,"62,000,000.00","Investment Fund for Developing Countries (IFU), STOA, Proparco, Morgan Stanley Investment Management, DEG (January), IFC (July), Trine",Series B,Equity/debt,No,Yes,Yes,2017,No,71,2021
Innovex,Uganda,energy,January,,Gaia Impact Fund,Seed,Equity,No,Yes,No,2015,No,10,2021
SunCulture,Kenya,energy,February,"11,000,000.00","SunFunder, the Off-Grid Energy Access Fund, Triodos Investment Management, AlphaMundi",Undisclosed,Debt,No,No,Yes,2013,No,103,2021
Nuru,DRC,energy,March,"1,200,000.00",Proparco,Undisclosed,Equity,No,No,Yes,2015,No,50,2021
Powerstove Energy,Nigeria,energy,March,,Jua Kickstarter Fund,Undisclosed,Equity,No,Yes,No,2018,No,2,2021
Jirogasy,Madagascar,energy,March,,Jua Kickstarter Fund,Undisclosed,Equity,No,No,Yes,2018,No,14,2021
Redavia,Ghana,energy,April,"898,000.00",Trine,Undisclosed,Debt,No,No,Yes,2010,No,24,2021
Munyax Eco,Rwanda,energy,May,,Opes-LCEF,Undisclosed,Debt,Yes,Yes,No,2013,No,24,2021
WidEnergy,Zambia,energy,May,,Opes-LCEF,Undisclosed,Debt,Yes,Yes,No,2016,No,25,2021
Pawame,Kenya,energy,June,"750,000.00","Launch Africa, others",Undisclosed,Equity,No,No,Yes,2016,No,74,2021
Solarise,Kenya,energy,June,"5,900,000.00",TRINE,Undisclosed,Debt,No,No,Yes,2017,No,8,2021
Mwezi,Kenya,energy,June,,The BUILD Fund,Undisclosed,Debt,No,No,Yes,2013,No,21,2021
Homefort,Nigeria,energy,June,"100,000.00","All-on, the Nigeria Content and Monitoring Board, Fate Foundation, Idris Bello",Undisclosed,Equity,No,Yes,No,2020,No,9,2021
PowerGen,Kenya,energy,July,"9,000,000.00","Oikocredit, Triodos IM, and EDFI ElectriFI",Undisclosed,Debt,Yes,No,Yes,2011,No,136,2021
Spark Solar,South Africa,energy,August,,Sherpa Ventures,Undisclosed,Equity,No,Yes,No,2018,No,24,2021
Infibranches,Nigeria,energy,September,"2,000,000.00",All On,Undisclosed,Equity,Yes,Yes,No,2019,No,5,2021
Yellow,South Africa,energy,September,"4,000,000.00",SunFunder,Undisclosed,Debt,No,Yes,No,2017,No,75,2021
Brayfoil,South Africa,energy,October,,Katapult Ocean,Undisclosed,Equity,No,Yes,No,2017,Yes,9,2021
Salpha Energy,Nigeria,energy,November,"1,000,000.00",All On,Undisclosed,Equity,Yes,Yes,No,2017,No,8,2021
Spark Possibilities,Kenya,energy,December,"4,200,000.00",Trade and Development Bank (TDB),Undisclosed,Equity,No,No,Yes,2016,No,15,2021
Renewco,South Africa,energy,,,Savant,Undisclosed,Equity,No,Yes,No,2020,No,1,2021
Altech Group,DRC,energy,,,TRINE,Undisclosed,Debt,No,Yes,No,2017,No,50,2021
MooMe,Tunisia,agri-tech,January,,Maxula Seed Fund,Seed,Equity,No,Yes,No,2018,Yes,2,2021
Pula,Kenya,agri-tech,January,"6,000,000.00","TLcom Capital, Women's World  Banking",Series A,Equity,Yes,Yes,Yes,2014,No,99,2021
AgroCenta,Ghana,agri-tech,January,"790,000.00","Shell Foundation, FCDO, AV Ventures and Rabo Foundation",Pre-Series A,Equity,No,Yes,No,2016,Yes,5,2021
Skudu,South Africa,agri-tech,February,,AgVentures,Undisclosed,Equity,No,Yes,No,2018,Yes,6,2021
GrowAgric,Kenya,agri-tech,March,,Jua Kickstarter Fund,Undisclosed,Equity,No,Yes,No,2020,No,3,2021
Complete Farmer,Ghana,agri-tech,March,,Ingressive Capital,Seed,Equity,No,Yes,No,2017,Yes,31,2021
Mozare3,Egypt,agri-tech,May,,"Algebra Ventures, Disruptech Ventures, EFG-EV, angel investors",Pre-seed,Equity,No,Yes,No,2020,No,2,2021
Apollo Agriculture,Kenya,agri-tech,June + December,"10,500,000.00","ABC Fund (June), DFC (December)",Undisclosed,Debt,No,No,Yes,2015,No,202,2021
Agrodata,Nigeria,agri-tech,June,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2017,Yes,12,2021
Agrix,Cameroon,agri-tech,June,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2018,Yes,4,2021
Zowasel,Nigeria,agri-tech,July,"50,000.00","Guiness, Promasidor",Undisclosed,Equity,No,Yes,No,2019,Yes,19,2021
Agricorp,Nigeria,agri-tech,September,"17,500,000.00","Vami, One Capital LLC and AFEX",Series A,Equity + debt,No,Yes,No,2018,No,4,2021
Releaf,Nigeria,agri-tech,September,"2,700,000.00","Samurai Incubate Africa, Future Africa and Consonance Investment Managers with participation from Stephen Pagliuca, Chairman of Bain Capital and Justin Kan (Twitch)",Seed,Equity,No,Yes,No,2017,Yes,29,2021
HelloChoice,South Africa,agri-tech,September,,Standard Bank,Undisclosed,Equity,No,Yes,No,2018,No,13,2021
Synnefa (Illuminum Greenhouse),Kenya,agri-tech,September,,Founders Factory Africa,Seed,Equity,No,Yes,No,2014,Yes,7,2021
Vendease,Nigeria,agri-tech,October,"3,200,000.00","Global Founders Capital, Y Combinator, Hustle Fund, Liquid 2 Ventures and Soma Cap",Seed,Equity,No,Yes,No,2019,Yes,22,2021
Shamba Pride,Kenya,agri-tech,October,"1,100,000.00","Seedstars, Gray Matters Capital",Undisclosed ,Equity,No,Yes,No,2016,Yes,26,2021
Fieldy,Uganda,agri-tech,October,,Founders Factory Africa,Pre-seed,Equity,Yes,No,Yes,2020,Yes,3,2021
Twiga Foods,Kenya,agri-tech,November,"50,000,000.00","Creadev, Juven, TLcom Capital, IFC Ventures, DOB Equity, OP Finnfund Global Impact Fund I and Endeavor Catalyst Fund",Series C,Equity,No,Yes,Yes,2014,No,494,2021
Farmbit,Nigeria,agri-tech,November,"240,000.00","Despace Protocol, angel investors",Seed,Equity,No,No,Yes,2020,No,7,2021
Zr3i,Egypt,agri-tech,December,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,4,2021
AfrikaMart,Senegal,agri-tech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2018,No,6,2021
Mazi Mobility,Kenya,transport,January,,Satgana,Pre-seed,Equity,No,Yes,No,2021,No,4,2021
Moja Ride,Ivory Coast,transport,March,,Mobility54,Undisclosed,Equity,No,Yes,No,2015,No,10,2021
Treepz,Nigeria,transport,March + August + November,"2,920,000.00","Techstars (March), The XChange, Techstars, SOSV, ShockVentures, Argentil Capital Partners and ODBA & Co Ventures, angel investors (August), Uncovered Fund, Blanford Capital, Jonomi Capital, Jedar Capital (November)",Seed,Equity,No,Yes,No,2019,Yes,31,2021
Ampersand,Rwanda,transport,April +  October,"13,000,000.00","Ecosystem Integrity Fund, TotalEnergies (April), DFC (October)",Undisclosed,Equity / debt,No,No,Yes,2019,No,40,2021
Ecobodaa,Kenya,transport,April,,Persistent Energy Capital,Undisclosed,Equity,No,Yes,No,2020,Yes,2,2021
WhereIsMyTransport,South Africa,transport,June,"14,500,000.00","Naspers, Cathay AfricInvest Innovation Fund, SBI Investment",Series A,Equity,No,Yes,No,2016,Yes,97,2021
An-Nisa Taxi,Kenya,transport,July,,Brmaja,Undisclosed,Equity,Yes,Yes,No,2018,No,3,2021
My Smart City,South Africa,transport,August,,"Imvelo, Andzani Ventures",Undisclosed,Equity,No,Yes,No,2020,No,44,2021
Schoolz,Egypt,transport,August,,Saudi and Egyptian investors,Pre-seed,Equity,No,Yes,No,2020,No,15,2021
Kai Senegal,Senegal,transport,August,,"Mobility 54, CFAO Group",Seed,Equity,No,Yes,No,2018,No,10,2021
Everlectric,South Africa,transport,September,,Sakhumnotho Group,Undisclosed,Equity,Yes,Yes,No,2021,No,1,2021
Gozem,Togo,transport,October,"5,000,000.00","AAIC, Thunes (TransferTo), Momentum Ventures (SMRT), Innoport Ventures (Schulte Group), CMC Ventures (National Express) and Liil Ventures (Mobility ADO).",Series A,Equity,No,Yes,No,2018,No,114,2021
Opibus,Kenya,transport,October,"5,000,000.00","At One Ventures, Factor[e]Ventures and Ambo Ventures",Undisclosed,Equity,No,No,Yes,2017,No,57,2021
BlinkApp,Egypt,transport,November,,"UAE, KSA investors",Pre-seed,Equity,No,Yes,No,2017,No,2,2021
Shuttlers,Nigeria,transport,November,"1,600,000.00","VestedWorld, Interswitch, Rising Tide Africa, Launch Africa Ventures, EchoVC, CMC 21, Alsa, ShEquity, Five35, Consonance, CcHub Syndicate, Sakore, and Nikky Tarus",Seed,Equity,Yes,Yes,No,2015,No,30,2021
Yassir,Algeria,transport,November,"30,000,000.00","WndrCo, DN Capital, Kismet Capital, Spike Ventures and Quiet Capital, and also includes Endeavor Catalyst, FJ Labs, VentureSouq, Nellore Capital, Moving Capital and various notable angel investors.",Series A,Equity,No,Yes,No,2017,Yes,268,2021
T40,Nigeria,transport,November,,GreenTec Capital Partners,Undisclosed,Equity,Yes,Yes,No,2020,No,8,2021
SafeBoda,Uganda,transport,December,,Google,Undisclosed,Equity,No,No,Yes,2015,Yes,243,2021
Metro Africa Xpress (MAX),Nigeria,transport,December,"31,000,000.00","Lightrock, Global Ventures, Proparco, Novastar Ventures",Series B,Equity/debt,No,Yes,No,2015,Yes,128,2021
BasiGo,Kenya,transport,,"900,000.00",,Undisclosed ,Equity,No,No,Yes,2021,No,5,2021
LULA,South Africa,transport,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2016,Yes,17,2021
Gro Intelligence,Kenya,AI,January,"85,000,000.00","Intel Capital, Africa Internet Ventures (a strategic partnership between TPG Growth and EchoVC), the family offices of Ronald Lauder and Eric Zinterhofer, Schusterman Family Investments, Dick Parsons, Rethink Food and various strategic family offices, as well as previous investors DCVC and GGV Capital. ",Series B,Equity,Yes,Yes,Yes,2014,No,91,2021
Synatic,South Africa,AI,February,,"UW Ventures, Allan Gray and E Squared",Seed,Equity,No,Yes,No,2017,No,9,2021
Qme,Egypt,AI,June,"100,000.00",,Pre-seed,Equity,No,Yes,No,2019,Yes,1,2021
Kosa AI,Kenya,AI,July,,"EchoVC, APX, Dale Matthias, Fineday Ventures, TheContinent Venture Partners and Arch Capital.",Pre-seed,Equity,Yes,No,Yes,2020,No,5,2021
Stone Three,South Africa,AI,October,,Knife Capital,Series A,Equity,No,Yes,No,2017,No,71,2021
Biware,Tunisia,AI,October,"1,200,000.00",CDC Gestion and Zitouna Capital,Seed,Equity,No,Yes,No,2011,No,29,2021
BixBio,South Africa,AI,October,,Illumina Accelerator,Undisclosed,Equity,No,Yes,No,2020,Yes,4,2021
DXwand,Egypt,AI,November,,SOSV,Undisclosed,Equity,No,Yes,No,2018,Yes,10,2021
Zindi ,South Africa,AI,December,,"Shakti Capital, Launch Africa, Founders Factory Africa, Five35",Seed,Equity,Yes,Yes,No,2018,No,55,2021
AIM Technologies,Egypt,AI,December,,Sequence Ventures,Seed,Equity,No,Yes,No,2019,No,50,2021
DataProphet,South Africa,AI,December,,Knife Capital,Series B,Equity,No,Yes,No,2013,No,42,2021
Arcturus,South Africa,AI,,,"Launch Africa Ventures, Musha Ventures",Undisclosed,Equity,No,No,Yes,2018,No,12,2021
eBanqo,Nigeria,AI,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2019,No,28,2021
YellowSpot ,South Africa,AI,,,Launch Africa Ventures,Undisclosed,Equity,No,No,Yes,2021,No,6,2021
NewGen,Tunisia,entertainment,January,,Maxula Seed Fund,Seed,Equity,No,Yes,No,2016,No ,3,2021
Ogelle,Nigeria,entertainment,January,,African Discovery Group,Undisclosed,Equity,No,Yes,No,2017,No,7,2021
Carry1st,South Africa,entertainment,May,"6,000,000.00","Konvoy Ventures, with participation from Riot Games, Raine Ventures, AET Fund / Akatsuki, and TTV Capital",Series A,Equity,Yes,Yes,No,2019,No,38,2021
Gamesbandy,Egypt,entertainment,May,,"Flat6Labs, Tamkeen",Seed,Equity,No,Yes,No,2020,Yes,1,2021
Minly,Egypt,entertainment,June,"3,600,000.00","4DX Ventures, B&Y Venture Partners, Global Ventures, Kepple Africa Ventures, Scooter Braun, WndrCo, Jason Finger, Arieh Mimran, Tamim Jabr",Seed,Equity,No,Yes,No,2020,No,30,2021
Ada Animation,Kenya,entertainment,July,,Platform Capital,Pre-seed,Equity,Yes,Yes,No,2020,No,5,2021
Jeel,Egypt,entertainment,July,"1,200,000.00",Angel investors,Seed,Equity,No,Yes,No,2019,No,32,2021
Gamr,Nigeria,entertainment,August,,"empawa Africa, Adrenaline gaming and other angel investors",Seed,Equity,No,Yes,No,2021,No,2,2021
mSwali,Kenya,entertainment,October,,,Pre-seed,Equity,No,Yes,No,2020,No,12,2021
GBarena,Egypt,entertainment,October,,"HIM Angels network, Angel investors",Pre-Series A,Equity,No,Yes,No,2016,Yes,25,2021
myFanPark,South Africa,entertainment,,,Seed South,Seed,Equity,Yes,Yes,No,2019,No,12,2021
ATHLST,Nigeria,entertainment,,,Kepple Africa Ventures,Undisclosed,Equity,No,Yes,No,2021,No,4,2021
Limitless Studios,Nigeria,entertainment,,,Launch Africa Ventures,Undisclosed,Equity,Yes,Yes,No,2020,No,20,2021
Jamit,Nigeria,entertainment,,,Microtraction,Pre-seed,Equity,No,Yes,No,2018,No,23,2021
Isqan,Egypt,prop-tech,January,,Mohamed Gaballah,Seed,Equity,No,Yes,No,2020,No,5,2021
Sakneen,Egypt,prop-tech,February,"1,100,000.00","Algebra Ventures, Sarwa Capital, Foundation Ventures, Hem + Spire, Nakhla VC, and angels from Google, BlackRock, and McKinsey",Seed,Equity,No,Yes,No,2019,Yes,15,2021
RentUp,Egypt,prop-tech,February,,Luqman Weise Capital,Pre-seed,Equity,No,Yes,No,2020,No,2,2021
Mubawab,Morocco,prop-tech,March,"10,000,000.00",Emerging Markets Property Group,Undisclosed,Equity,No,No,Yes,2011,No,160,2021
Seso Global,Nigeria,prop-tech,June,"600,000.00","Kepple Africa Ventures, Rising Tide Africa, and Moabi Group, as well as angel investors Albert Essien, Ibrahim Sanga, and Jamie Broderick.",Pre-seed,Equity,Yes,Yes,Yes,2019,No,21,2021
Nawy,Egypt,prop-tech,July,,"Sawiris family office, notable angels, including Hatem Dowidar.",Seed,Equity,No,Yes,No,2016,No,45,2021
Rent Small Small,Nigeria,prop-tech,October,"120,000.00",Techstars,Undisclosed,Equity,Yes,Yes,No,2018,Yes,14,2021
reOS,South Africa,prop-tech,October,,Castle One,Undisclosed,Equity,No,Yes,No,2020,No,16,2021
Agenz,Morocco,prop-tech,December,"540,000.00",Azur Innovation Partners,Seed,Equity,No,Yes,No,2021,No,5,2021
DigsConnect,South Africa,prop-tech,,,,Undisclosed,Equity,Yes,Yes,No,2018,No,8,2021
Termii,Nigeria,marketing,March,"1,400,000.00","Future Africa, Kepple Africa Ventures, Acuity Ventures, Aidi Ventures, Assembly Capital, Kairos Angels, Nama Ventures, Rally Cap Ventures, Remapped Ventures, Ham Serunjogi, Josh Jones, Tayo Oviosu",Seed,Equity,No,Yes,No,2014,Yes,13,2021
dKilo,Egypt,marketing,April,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,5,2021
ElSupplier,Egypt,marketing,April,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2015,Yes,6,2021
Terragon Group,Nigeria,marketing,April,"500,000.00",Vested World,Pre-Series B,Equity,No,Yes,No,2009,No,81,2021
AIfluence,Kenya,marketing,July,"1,000,000.00","EQ2 Ventures, Antler East Africa, Oui Capital, ArabyAds, and a European family office",Seed,Equity,No,Yes,No,2020,Yes,24,2021
CashBackApp,Kenya,marketing,August,"450,000.00","Lofty Inc, Sherpa Ventures and Loyal VC, several angel investors based in the US, UK, Nigeria and Kenya.",Pre-seed,Equity,No,Yes,No,2018,No,4,2021
Adbot,South Africa,marketing,November,"500,000.00",Enygma Ventures,Undisclosed ,Equity,Yes,Yes,No,2019,No,4,2021
Mobiz,South Africa,marketing,November,"4,000,000.00","HAVAÍC, Futuregrowth, Launch Africa, Allan Gray E-Squared Ventures, CapaciTech and Endeavor’s Harvest Fund.",Pre-Series A,Equity,No,Yes,No,2014,No,36,2021
Wowzi,Kenya,marketing,December,"2,000,000.00","4DX Ventures, with participation from To.org, Golden Palm Investments, LoftyInc Capital, Afropreneur Angels, and Future Africa. Andela co-founder Christina Sass and alumni Jessica Chervin, Justin Ziegler, and Johnny Falla also participated",Seed,Equity,No,Yes,No,2020,No,58,2021
Inxor,South Africa,marketing,,,Savant,Undisclosed,Equity,No,Yes,No,2020,No,1,2021
Simulon,South Africa,3D,,,Suya Fund,Undisclosed,Equity,No,Yes,No,2019,No,9,2021
Reedz,Tunisia,e-reader,April,"72,000.00",Flat6Labs,Seed,Equity,No,Yes,No,2020,Yes,8,2021
NGSign,Tunisia,e-signature,March,"546,000.00",,Undisclosed,Equity,Yes,Yes,No,2016,No,10,2021
Damanesign,Morocco,e-signature,July,"450,000.00",MITC Capital,Undisclosed,Equity,No,Yes,No,2021,No,1,2021
Maad,Senegal,field operations,,,Launch Africa Ventures,Undisclosed,Equity,Yes,Yes,No,2020,No,10,2021
WeMove,Tunisia,fitness,April,"72,000.00",Flat6Labs,Seed,Equity,Yes,Yes,No,2020,Yes,2,2021
Sudor,South Africa,fitness,,,Launch Africa Ventures,Undisclosed,Equity,Yes,Yes,No,2019,No,20,2021
elmenus,Egypt,food delivery,February + July,"10,000,000.00","David Buttress (January), Fawry, Luxor Capital and Marakez (July)",Pre-Series C,Equity,No,Yes,No,2011,No,125,2021
Koinz,Egypt,food delivery,March,"4,800,000.00","Tinder founder Justin Mateen, with participation from 4DX Ventures and strategic angel investors in Egypt, Turkey and Saudi Arabia.",Seed,Equity,No,Yes,No,2019,No,69,2021
Ando Foods,Kenya,food delivery,,,"Seedstars, DFS Lab, Savannah Fund, Suya Fund",Undisclosed,Equity,No,Yes,No,2020,No,12,2021
Munch ,Zimbabwe,food delivery,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2017,No,7,2021
Pylon,Egypt,infrastructure management,,"125,000.00",Y Combinator,Pre-seed,Equity,No,Yes,No,2017,Yes,17,2021
beXel,Egypt,inspection management,December,,"JH Investments and featuring follow-on funding from Flat6Labs, UI Investments and Saudi angel investors",Undisclosed,Equity,No,Yes,No,2016,Yes,10,2021
KoKens,Egypt,kitche-as-a-service,December,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2021,Yes,1,2021
Laverie,Egypt,laundry,April,,A15,Undisclosed,Equity,No,Yes,No,2018,No,38,2021
Cycad Group,South Africa,legal-tech,April,,Imvelo Ventures,Undisclosed,Equity,Yes,Yes,No,2020,No,2,2021
Hekouky,Egypt,legal-tech,November,,Nama Ventures,Pre-seed,Equity,Yes,Yes,No,2021,Yes,12,2021
ElMetr,Egypt,legal-tech,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2018,Yes,5,2021
Guidewheel,Kenya,manufacturing,July,"8,000,000.00","Greycroft, others",Series A,Equity,Yes,No,Yes,2017,No,21,2021
Dataphyte,Nigeria,media,December,"100,000.00",Media Development Investment Fund,Seed,Equity,No,Yes,No,2020,No,22,2021
Eden Life,Nigeria,on-demand,October,"1,400,000.00","LocalGlobe, Samurai Incubate, Future Africa, Village Global, Rising Tide Africa and Enza Capital.",Seed,Equity,No,Yes,No,2019,Yes,50,2021
Filkhedma,Egypt,on-demand,December,,Cairo Angels,Seed,Equity,No,Yes,No,2014,Yes,40,2021
Cooked,Kenya,on-demand meals,January,"100,000.00",Antler,Pre-seed,Equity,Yes,Yes,Yes,2019,Yes,3,2021
Zatona Eats,Egypt,online chef platform,December,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2019,Yes,3,2021
xetova,Kenya,procurement,March,,Jua Kickstarter Fund,Undisclosed,Equity,No,Yes,No,2019,No,6,2021
Untap,Egypt,programme management,November,"120,000.00",Techstars Riyadh,Undisclosed,Equity,Yes,Yes,No,2016,Yes,4,2021
AfriBlocks,Zimbabwe,recruitment,March,"120,000.00",Techstars,Seed,Equity,No,Yes,Yes,2020,Yes,10,2021
TalentQL,Nigeria,recruitment,April,"120,000.00",Techstars,Undisclosed,Equity,No,Yes,No,2020,Yes,7,2021
Kandua,South Africa,recruitment,July,,"Knife Capital, Allan Gray E-Squared Ventures",Series A,Equity,No,Yes,No,2014,Yes,37,2021
OfferZen,South Africa,recruitment,December,"5,100,000.00",Base Capital,Series A,Equity,No,Yes,No,2015,No,122,2021
Wamly,South Africa,recruitment,December,,Knife Capital,Series A,Equity,No,Yes,No,2018,No,6,2021
Venu,Egypt,restaurant tech,December,,Flat6Labs,Undisclosed,Equity,Yes,Yes,No,2021,Yes,2,2021
Star Kitchens,Nigeria,restaurant tech,,,"DFS Lab, Microtraction",Pre-seed,Equity,No,Yes,No,2020,No,11,2021
AURA,South Africa,security,November,"4,000,000.00","MultiChoice Group (MCG), KLT Holdings and Buffet Investments",Series A,Equity,No,Yes,No,2017,No,38,2021
Pravica,Egypt,security,,"125,000.00",CV VC,Undisclosed,Equity,No,Yes,No,2019,Yes,5,2021
Suitera,Egypt,semiconductors,April,"230,000.00",Whalden Rhines,Undisclosed,Equity,No,Yes,No,2020,No,10,2021
ear1,Ghana,social media,August,"520,000.00","Danny Oyekan of Dan Ventures, Alkesh Thavrani of Stellar International and Prosper Otemuyiwa (CTO of EdenLife)",Pre-seed,Equity,No,Yes,No,2021,No,1,2021
Tays,Egypt,social network,May,,Angel investors,Pre-seed,Equity,No,Yes,No,2020,No,8,2021
AGS Tribe,Nigeria,social network,June,"18,000.00",Startupbootcamp AfriTech,Undisclosed,Equity,Yes,Yes,No,2019,Yes,10,2021
Pariti,Kenya,startup support,December,"2,850,000.00","Harlem Capital, Better Ventures, Accelerated Ventures, Diverse Angels, AVG Basecamp and New General Market Partners.",Seed,Equity,No,No,Yes,2019,No,22,2021
Tix Africa,Nigeria,ticketing,July,,"HoaQ, others",Pre-seed,Equity,Yes,Yes,No,2018,No,6,2021
Epic Contests,South Africa,travel/social network,,,Launch Africa Ventures,Undisclosed,Equity,No,Yes,No,2019,Yes,4,2021
Kasookoo,Nigeria,unified communications,November,"500,000.00","South Southeast Angels Network, Launch Africa Ventures",Seed,Equity,No,No,Yes,2018,No,11,2021
Beamm,South Africa,VFX,April,"425,000.00","Unshackled Ventures, Suya Fund",Pre-seed,Equity,No,Yes,No,2019,No,9,2021
Plstka,Egypt,waste management,December,,"Alexandria Angels Network, Hivos",Seed,Equity,No,Yes,No,2021,No,25,2021
Tagaddod,Egypt,waste management,,,Kepple Africa Ventures,Undisclosed,Equity,Yes,Yes,No,2013,Yes,33,2021
Waseya,Egypt,will-maker,December,,Flat6Labs,Undisclosed,Equity,No,Yes,No,2020,Yes,2,2021
Odiggo,Egypt,auto-tech,January + August,"2,900,000.00","Essa Al-Saheh (January), Y Combinator S21 batch. YC is an investor, alongside 500 Startups, Plug and Play Ventures, Seedra Ventures, LoftyInc Capital, and Essa Al-Saleh (August)",Seed,Equity,No,Yes,No,2017,Yes,25,2021
Mecho Autotech,Nigeria,auto-tech,July + November,"125,000.00","Y Combinator , Acuity Ventures(July), Ingressive Capital (November)",Seed,Equity,No,Yes,No,2020,Yes,20,2021
Zuru,Kenya,auto-tech,October,,Angel investors,Pre-seed,Equity,No,Yes,No,2018,No,1,2021
Fixit45,Nigeria,auto-tech,,,Launch Africa Ventures,Pre-seed,Equity,No,Yes,No,2021,No,37,2021
Uncover Skincare,Kenya,beauty,January,"100,000.00",Antler,Pre-seed,Equity,Yes,No,Yes,2019,Yes,2,2021
Glamera,Egypt,beauty,November,"120,000.00",Techstars Riyadh,Undisclosed,Equity,No,Yes,No,2019,Yes,18,2021
VoxCroft Analytics,South Africa,big data,November,"2,000,000.00",Knife Capital,Series A,Equity,No,Yes,No,2018,No,28,2021
The Food Lab,Egypt,cloud kitche,,,Samurai Incubate,Undisclosed,Equity,No,Yes,No,2020,No,1,2021
TalkSay,Nigeria,communication,,,Kepple Africa Ventures,Undisclosed,Equity,No,Yes,No,2021,No,1,2021
Wicrypt,Nigeria,connectivity,October,"1,500,000.00","AU21 Capital, with participation from Polygon founder Sandeep Nailwal, Cardano's Occam, Inclusion Capital, Outlier Ventures, Chain Capital, Pluto Digital Assets, Onega Ventures, N7 Labs, Cardano, and PolkaFoundary. ",Undisclosed,Equity,No,Yes,No,2018,No,18,2021
Isizwe,South Africa,connectivity,December,"460,000.00",Global Innovation Fund,Undisclosed,Equity,No,Yes,No,2013,No,98,2021
Mawingu Networks,Kenya,connectivity,,,Kepple Africa Ventures,Undisclosed,Equity,No,No,Yes,2013,No,80,2021
ConDigital,Ethiopia,construction,September,,Angel investors,Pre-seed,Equity,No,Yes,No,2019,Yes,4,2021
Elmawkaa,Egypt,construction,October,,"Flat6Labs, Oqal Angel Network",Undisclosed ,Equity,No,Yes,No,2017,No,9,2021
GLUED,Egypt,corporate training,March,"80,000.00",Flat6Labs,Pre-seed,Equity,No,Yes,No,2020,Yes,2,2021
SendChamp,Nigeria,CRM,December,"100,000.00","DFS Lab, Hustler Capital, HoaQ Club and Velocity Digital, and angel investors including Prosper Otemuyiwa, Samson Goddy, Merijn Campsteyn, Ayo Arikawe, and Lanre Ogungbe.",Undisclosed,Equity,No,Yes,No,2021,No,6,2021
Sendmarc,South Africa,cybersecurity,April,,"Kalon Venture Partners, Endeavor South Africa",Undisclosed,Equity,No,Yes,No,2018,No,12,2021
Omnisient,South Africa,data collaboration,July,"1,400,000.00","Nedbank, Investec, Compass Venture Capital, Technova, Grand Bay Ventures, Tahseen Consulting, and Kepple Africa Ventures.",Series A,Equity,No,Yes,No,2014,No,15,2021
Vybe,Nigeria,dating,,,Antler,Undisclosed,Equity,No,Yes,No,2019,No,5,2021
Frain,Nigeria,developer tools,,,"Rally Cap Ventures, Musha Ventures",Undisclosed,Equity,No,Yes,No,2019,No,5,2021
Proservy,Tunisia,digital B2B concierge,April,"72,000.00",Flat6Labs,Seed,Equity,No,Yes,No,2019,Yes,3,2021
Identitypass,Nigeria,digital identity,November + December,"485,000.00","CcHub, Midlothian Angel Network, D Global Ventures Fund, and other angel Investors (November), Y Combinator (December)",Pre-seed,Equity,No,Yes,No,2021,Yes,9,2021
Charis UAS,Rwanda,drones,January,,XM2 Pursuit,Undisclosed,Equity,No,Yes,No,2014,No,14,2021
BFREE,Nigeria,fintech,January,"1,700,000.00","4Di Capital, Octerra Capital, VestedWorld, Voltron Capital, Logos Ventures and several unnamed business angels",Pre-Series A,Equity,No,Yes,Yes,2019,No,160,2022
